image,method,mse,psnr_db,ssim,orig_width,orig_height,pipeline,target_width,target_height
complex_image_1.jpg,simple_resize,2.1213298459041807,44.86472158584972,0.9980996948186432,731,943,preprocessing_only,1080,1080
complex_image_1.jpg,padding_resize,1573.8360908298312,16.161208606433572,0.8920608827821028,731,943,preprocessing_only,1080,1080
complex_image_10.jpg,simple_resize,0.6263586299491678,50.16257295371854,0.9988862430579003,636,737,preprocessing_only,1080,1080
complex_image_10.jpg,padding_resize,869.8451005407496,18.736384392491136,0.9088068374193011,636,737,preprocessing_only,1080,1080
complex_image_11.jpg,simple_resize,0.44871497888485334,51.611097935892204,0.998754867423692,958,730,preprocessing_only,1080,1080
complex_image_11.jpg,padding_resize,409.67324000724494,22.006427642487886,0.9433126264455809,958,730,preprocessing_only,1080,1080
complex_image_12.jpg,simple_resize,0.6727096849047557,49.85252680664794,0.998980251315257,778,613,preprocessing_only,1080,1080
complex_image_12.jpg,padding_resize,1358.3171710902454,16.80079170031637,0.917554296048973,778,613,preprocessing_only,1080,1080
complex_image_13.jpg,simple_resize,1.1330665605261536,47.58824938188841,0.9983980710661684,537,524,preprocessing_only,1080,1080
complex_image_13.jpg,padding_resize,154.9765294421463,26.228144298303814,0.9306742003731213,537,524,preprocessing_only,1080,1080
complex_image_14.jpg,simple_resize,0.7086521861421478,49.62647229637565,0.9984332330929508,537,512,preprocessing_only,1080,1080
complex_image_14.jpg,padding_resize,492.17858060792986,21.20957651391812,0.9162884152946617,537,512,preprocessing_only,1080,1080
complex_image_15.jpg,simple_resize,0.9826974775071661,48.206605196079124,0.9985065496335555,714,629,preprocessing_only,1080,1080
complex_image_15.jpg,padding_resize,680.5302838676541,19.802329046217658,0.8762849990443459,714,629,preprocessing_only,1080,1080
complex_image_16.jpg,simple_resize,0.6797841282551758,49.80709340502695,0.9988693838688182,870,689,preprocessing_only,1080,1080
complex_image_16.jpg,padding_resize,1151.1321744546208,17.519551681324344,0.9036374017659414,870,689,preprocessing_only,1080,1080
complex_image_17.jpg,simple_resize,0.1925639143193593,55.28505455443374,0.9995445936353925,507,943,preprocessing_only,1080,1080
complex_image_17.jpg,padding_resize,1275.4220042766417,17.07426455466566,0.9503104663260057,507,943,preprocessing_only,1080,1080
complex_image_18.jpg,simple_resize,0.5560981992077759,50.67928872148486,0.9991217663807553,844,812,preprocessing_only,1080,1080
complex_image_18.jpg,padding_resize,279.662778990498,23.66445691974759,0.9414146311148209,844,812,preprocessing_only,1080,1080
complex_image_19.jpg,simple_resize,0.5024493909107093,51.11988036775589,0.9989849139511647,816,514,preprocessing_only,1080,1080
complex_image_19.jpg,padding_resize,1161.6183225884388,17.480169071879462,0.9272607985278543,816,514,preprocessing_only,1080,1080
complex_image_2.jpg,simple_resize,0.5583857725350114,50.66146016776182,0.9989474037574274,537,538,preprocessing_only,1080,1080
complex_image_2.jpg,padding_resize,13.797606603301189,36.73276602664285,0.9890522158208673,537,538,preprocessing_only,1080,1080
complex_image_20.jpg,simple_resize,0.41977518108514417,51.90063603220872,0.9991741627103239,900,542,preprocessing_only,1080,1080
complex_image_20.jpg,padding_resize,1563.7206122727894,16.189211999875003,0.9168567843091734,900,542,preprocessing_only,1080,1080
complex_image_21.jpg,simple_resize,1.0964997109955092,47.73071839321375,0.9984566249769841,510,588,preprocessing_only,1080,1080
complex_image_21.jpg,padding_resize,451.1448145925037,21.58764390867222,0.9223043690748122,510,588,preprocessing_only,1080,1080
complex_image_22.jpg,simple_resize,0.8523290298124735,48.82473080365399,0.9984273813291935,990,906,preprocessing_only,1080,1080
complex_image_22.jpg,padding_resize,141.127621691529,26.634683380830623,0.9546139057112046,990,906,preprocessing_only,1080,1080
