Run,Image,SSIM,MSE
24,random_image_2.jpg,0.7844953825399152,67.27158749427849
24,random_image_3.jpg,0.8528521842059538,42.51008548900623
24,random_image_1.jpg,0.9338219724340472,18.791952583688122
24,random_image_10.jpg,0.8878870790392366,36.564499350385525
24,random_image_8.jpg,0.8355484985204275,14.788502511249488
24,random_image_9.jpg,0.816407941831002,17.718855792850718
25,random_image_4.jpg,0.8222425362468146,16.7507794446686
25,random_image_5.jpg,0.8841847746050576,19.81020066889632
25,random_image_7.jpg,0.8717699181389782,18.833256406695476
25,random_image_6.jpg,0.823826665895304,28.448873177198408
25,random_image_2.jpg,0.7844953825399152,67.27158749427849
25,random_image_3.jpg,0.8528521842059538,42.51008548900623
25,random_image_1.jpg,0.9338219724340472,18.791952583688122
25,random_image_10.jpg,0.8878870790392366,36.564499350385525
25,random_image_8.jpg,0.8355484985204275,14.788502511249488
25,random_image_9.jpg,0.816407941831002,17.718855792850718
26,random_image_4.jpg,0.8222425362468146,16.7507794446686
26,random_image_5.jpg,0.8841847746050576,19.81020066889632
26,random_image_7.jpg,0.8717699181389782,18.833256406695476
26,random_image_6.jpg,0.823826665895304,28.448873177198408
26,random_image_2.jpg,0.7844953825399152,67.27158749427849
26,random_image_3.jpg,0.8528521842059538,42.51008548900623
26,random_image_1.jpg,0.9338219724340472,18.791952583688122
26,random_image_10.jpg,0.8878870790392366,36.564499350385525
26,random_image_8.jpg,0.8355484985204275,14.788502511249488
26,random_image_9.jpg,0.816407941831002,17.718855792850718
27,random_image_4.jpg,0.8222425362468146,16.7507794446686
27,random_image_5.jpg,0.8841847746050576,19.81020066889632
27,random_image_7.jpg,0.8717699181389782,18.833256406695476
27,random_image_6.jpg,0.823826665895304,28.448873177198408
27,random_image_2.jpg,0.7844953825399152,67.27158749427849
27,random_image_3.jpg,0.8528521842059538,42.51008548900623
27,random_image_1.jpg,0.9338219724340472,18.791952583688122
27,random_image_10.jpg,0.8878870790392366,36.564499350385525
27,random_image_8.jpg,0.8355484985204275,14.788502511249488
27,random_image_9.jpg,0.816407941831002,17.718855792850718
28,random_image_4.jpg,0.8222425362468146,16.7507794446686
28,random_image_5.jpg,0.8841847746050576,19.81020066889632
