image,method,mse,psnr_db,ssim,orig_width,orig_height,pipeline,target_width,target_height,category,aspect_ratio,replicate
abstract_texture_portrait_r3.png,padding_resize,1728.6106302392927,15.753831814644862,0.6735128138150842,810,1080,instagram_landscape,1080,1080,abstract_texture,portrait,3
abstract_texture_square_r1.png,simple_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,simple_resize,2.586079675354367,44.004384598000634,0.9943596458451663,1080,1080,instagram_standard,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,simple_resize,1.5469964563328762,46.23591041995201,0.9963834054769067,1080,1080,instagram_high_quality,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,simple_resize,3.0377463420210336,43.305288542969734,0.9932714441876525,1080,1080,instagram_low_quality,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,simple_resize,2.586079675354367,44.004384598000634,0.9943596458451663,1080,1080,instagram_square,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,simple_resize,4.446725537265661,41.65040036305308,0.9929403929457603,1080,1080,instagram_landscape,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,padding_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,padding_resize,2.586079675354367,44.004384598000634,0.9943596458451663,1080,1080,instagram_standard,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,padding_resize,1.5469964563328762,46.23591041995201,0.9963834054769067,1080,1080,instagram_high_quality,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,padding_resize,3.0377463420210336,43.305288542969734,0.9932714441876525,1080,1080,instagram_low_quality,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,padding_resize,2.586079675354367,44.004384598000634,0.9943596458451663,1080,1080,instagram_square,1080,1080,abstract_texture,square,1
abstract_texture_square_r1.png,padding_resize,4.446725537265661,41.65040036305308,0.9929403929457603,1080,1080,instagram_landscape,1080,1080,abstract_texture,square,1
abstract_texture_square_r2.png,simple_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,simple_resize,1.4971236282578875,46.37822696227384,0.9939203346161029,1080,1080,instagram_standard,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,simple_resize,0.8775077160493827,48.698294169004924,0.9962401004366042,1080,1080,instagram_high_quality,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,simple_resize,1.7721682098765432,45.6457541918929,0.9928585059431362,1080,1080,instagram_low_quality,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,simple_resize,1.4971236282578875,46.37822696227384,0.9939203346161029,1080,1080,instagram_square,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,simple_resize,2.1431890146319157,44.82019886330173,0.9931485213107669,1080,1080,instagram_landscape,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,padding_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,padding_resize,1.4971236282578875,46.37822696227384,0.9939203346161029,1080,1080,instagram_standard,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,padding_resize,0.8775077160493827,48.698294169004924,0.9962401004366042,1080,1080,instagram_high_quality,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,padding_resize,1.7721682098765432,45.6457541918929,0.9928585059431362,1080,1080,instagram_low_quality,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,padding_resize,1.4971236282578875,46.37822696227384,0.9939203346161029,1080,1080,instagram_square,1080,1080,abstract_texture,square,2
abstract_texture_square_r2.png,padding_resize,2.1431890146319157,44.82019886330173,0.9931485213107669,1080,1080,instagram_landscape,1080,1080,abstract_texture,square,2
abstract_texture_square_r3.png,simple_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,simple_resize,0.8941092249657064,48.616897851342074,0.9962291914357218,1080,1080,instagram_standard,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,simple_resize,0.6396502057613169,50.071378169422715,0.9970592447044169,1080,1080,instagram_high_quality,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,simple_resize,1.1564603337905808,47.49949619663825,0.9955981376477753,1080,1080,instagram_low_quality,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,simple_resize,0.8941092249657064,48.616897851342074,0.9962291914357218,1080,1080,instagram_square,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,simple_resize,1.1145398948331047,47.659847422501485,0.9959325705831823,1080,1080,instagram_landscape,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,padding_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,padding_resize,0.8941092249657064,48.616897851342074,0.9962291914357218,1080,1080,instagram_standard,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,padding_resize,0.6396502057613169,50.071378169422715,0.9970592447044169,1080,1080,instagram_high_quality,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,padding_resize,1.1564603337905808,47.49949619663825,0.9955981376477753,1080,1080,instagram_low_quality,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,padding_resize,0.8941092249657064,48.616897851342074,0.9962291914357218,1080,1080,instagram_square,1080,1080,abstract_texture,square,3
abstract_texture_square_r3.png,padding_resize,1.1145398948331047,47.659847422501485,0.9959325705831823,1080,1080,instagram_landscape,1080,1080,abstract_texture,square,3
abstract_texture_very_tall_r1.png,simple_resize,0.0115546410608139,67.50323901985632,0.999949918152155,540,1080,preprocessing_only,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,simple_resize,1.2620427526291724,47.120062936646725,0.9953783871621107,540,1080,instagram_standard,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,simple_resize,0.7699965706447188,49.26591569920612,0.9971124051285373,540,1080,instagram_high_quality,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,simple_resize,1.516597508001829,46.32210022828038,0.9945795652585452,540,1080,instagram_low_quality,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,simple_resize,1.2620427526291724,47.120062936646725,0.9953783871621107,540,1080,instagram_square,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,simple_resize,2.2424548468221306,44.62356653844496,0.9935948642757192,540,1080,instagram_landscape,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,padding_resize,0.0,inf,1.0,540,1080,preprocessing_only,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,padding_resize,3007.5966232281667,13.34860772317125,0.5320796687945506,540,1080,instagram_standard,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,padding_resize,3007.626579218107,13.348564467183257,0.5322493663264356,540,1080,instagram_high_quality,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,padding_resize,3008.0059350708734,13.348016720447195,0.5318655624730901,540,1080,instagram_low_quality,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,padding_resize,3007.5966232281667,13.34860772317125,0.5320796687945506,540,1080,instagram_square,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r1.png,padding_resize,3005.8523519661635,13.351127167198797,0.5318214460596344,540,1080,instagram_landscape,1080,1080,abstract_texture,very_tall,1
abstract_texture_very_tall_r2.png,simple_resize,0.011109396433470508,67.67389896232503,0.9999566881603275,540,1080,preprocessing_only,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,simple_resize,1.6208619112940101,46.03334343994449,0.9950806060180183,540,1080,instagram_standard,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,simple_resize,0.9588625971650663,48.313239826527514,0.997029762679437,540,1080,instagram_high_quality,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,simple_resize,1.916820987654321,45.30498804955981,0.9941886630243665,540,1080,instagram_low_quality,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,simple_resize,1.6208619112940101,46.03334343994449,0.9950806060180183,540,1080,instagram_square,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,simple_resize,2.626908436213992,43.93635425630387,0.9936900674719586,540,1080,instagram_landscape,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,padding_resize,0.0,inf,1.0,540,1080,preprocessing_only,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,padding_resize,1895.2296959304983,15.354185082367223,0.542295017963753,540,1080,instagram_standard,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,padding_resize,1895.341924439872,15.353927916814222,0.5426256657805487,540,1080,instagram_high_quality,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,padding_resize,1895.2589020347507,15.354118156694783,0.5421519600912252,540,1080,instagram_low_quality,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,padding_resize,1895.2296959304983,15.354185082367223,0.542295017963753,540,1080,instagram_square,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r2.png,padding_resize,1894.063455647005,15.356858360550918,0.5415408082879772,540,1080,instagram_landscape,1080,1080,abstract_texture,very_tall,2
abstract_texture_very_tall_r3.png,simple_resize,0.00896376314586191,68.60589988440428,0.9999528745921021,540,1080,preprocessing_only,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,simple_resize,1.3058384773662552,46.971908996461444,0.9952244506073534,540,1080,instagram_standard,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,simple_resize,0.8489763374485597,48.84184775051202,0.9965126657877623,540,1080,instagram_high_quality,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,simple_resize,1.580248056698674,46.14355095939024,0.9945629361238051,540,1080,instagram_low_quality,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,simple_resize,1.3058384773662552,46.971908996461444,0.9952244506073534,540,1080,instagram_square,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,simple_resize,1.9983773433927754,45.124028636245164,0.9939031708496183,540,1080,instagram_landscape,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,padding_resize,0.0,inf,1.0,540,1080,preprocessing_only,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,padding_resize,470.8700634430727,21.40179280734731,0.8185075205090122,540,1080,instagram_standard,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,padding_resize,470.7082178783722,21.403285803474272,0.819148236125697,540,1080,instagram_high_quality,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,padding_resize,474.28723936899866,21.37038920690381,0.8182219873686284,540,1080,instagram_low_quality,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,padding_resize,470.8700634430727,21.40179280734731,0.8185075205090122,540,1080,instagram_square,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_tall_r3.png,padding_resize,468.6114843392775,21.422674331497316,0.8179497325111863,540,1080,instagram_landscape,1080,1080,abstract_texture,very_tall,3
abstract_texture_very_wide_r1.png,simple_resize,0.15587004484953704,56.20317700499733,0.9987519444386801,1920,960,preprocessing_only,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,simple_resize,1.3854940682870371,46.714756900897704,0.9941930062864913,1920,960,instagram_standard,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,simple_resize,0.8789451316550926,48.69118595877386,0.9958017409863266,1920,960,instagram_high_quality,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,simple_resize,1.6514301215277778,45.95220159151073,0.9934721048392137,1920,960,instagram_low_quality,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,simple_resize,1.3854940682870371,46.714756900897704,0.9941930062864913,1920,960,instagram_square,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,simple_resize,1.9213391565393518,45.29476327181356,0.9939207299349886,1920,960,instagram_landscape,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,padding_resize,0.22529586226851853,54.60327145222426,0.9982729544937124,1920,960,preprocessing_only,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,padding_resize,424.07734935619214,21.85635284145807,0.8422889431102021,1920,960,instagram_standard,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,padding_resize,423.59651258680555,21.86127984905884,0.8430211132072803,1920,960,instagram_high_quality,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,padding_resize,424.5996750217014,21.851007034362716,0.8421169559404412,1920,960,instagram_low_quality,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,padding_resize,424.07734935619214,21.85635284145807,0.8422889431102021,1920,960,instagram_square,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r1.png,padding_resize,423.84417317708335,21.858741438226986,0.8423382832863859,1920,960,instagram_landscape,1080,1080,abstract_texture,very_wide,1
abstract_texture_very_wide_r2.png,simple_resize,0.056230287905092595,60.63110053718583,0.9995132978733436,1920,960,preprocessing_only,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,simple_resize,0.8840520109953703,48.66602544470428,0.996624388247623,1920,960,instagram_standard,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,simple_resize,0.5967068142361112,50.37319363465837,0.9972044406440385,1920,960,instagram_high_quality,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,simple_resize,1.1380814163773147,47.56907029020962,0.9962273471996093,1920,960,instagram_low_quality,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,simple_resize,0.8840520109953703,48.66602544470428,0.996624388247623,1920,960,instagram_square,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,simple_resize,1.1031273509837962,47.70454708231085,0.9964247126062676,1920,960,instagram_landscape,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,padding_resize,0.12486436631944445,57.16641843381035,0.9988990610069548,1920,960,preprocessing_only,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,padding_resize,320.06524468315973,23.078418434304588,0.9710998524616582,1920,960,instagram_standard,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,padding_resize,319.79211570457176,23.08212608612815,0.9711891736180881,1920,960,instagram_high_quality,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,padding_resize,320.23522334346063,23.076112616969432,0.9709563035347095,1920,960,instagram_low_quality,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,padding_resize,320.06524468315973,23.078418434304588,0.9710998524616582,1920,960,instagram_square,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r2.png,padding_resize,319.9933454499421,23.07939413999317,0.9711023827023721,1920,960,instagram_landscape,1080,1080,abstract_texture,very_wide,2
abstract_texture_very_wide_r3.png,simple_resize,0.14453161168981482,56.53117515291097,0.9991648151510966,1920,960,preprocessing_only,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,simple_resize,1.5652741608796297,46.184899447814836,0.9947420783387918,1920,960,instagram_standard,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,simple_resize,0.9170473451967592,48.5068860292209,0.9962723577298555,1920,960,instagram_high_quality,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,simple_resize,1.6811179832175926,45.8748216696307,0.9940194207819903,1920,960,instagram_low_quality,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,simple_resize,1.5652741608796297,46.184899447814836,0.9947420783387918,1920,960,instagram_square,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,simple_resize,2.2949376085069444,44.52309477813574,0.9941863352801886,1920,960,instagram_landscape,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,padding_resize,0.2137129267939815,54.83249568860583,0.9987468237986759,1920,960,preprocessing_only,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,padding_resize,2359.256076569734,14.403052785641787,0.7589704290322872,1920,960,instagram_standard,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,padding_resize,2362.9440498408567,14.396269224065321,0.7593343864869833,1920,960,instagram_high_quality,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,padding_resize,2362.584681893808,14.396929770326013,0.7587144382755847,1920,960,instagram_low_quality,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,padding_resize,2359.256076569734,14.403052785641787,0.7589704290322872,1920,960,instagram_square,1080,1080,abstract_texture,very_wide,3
abstract_texture_very_wide_r3.png,padding_resize,2353.012251880787,14.414561723615167,0.758709355004942,1920,960,instagram_landscape,1080,1080,abstract_texture,very_wide,3
abstract_texture_wide_r1.png,simple_resize,0.037899948559670785,62.34441740352774,0.9996549585161185,1440,1080,preprocessing_only,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,simple_resize,0.9401800411522634,48.39869333447119,0.9965680190973621,1440,1080,instagram_standard,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,simple_resize,0.6509833676268861,49.99510468213913,0.9973258471625974,1440,1080,instagram_high_quality,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,simple_resize,1.1437360682441702,47.54754543866874,0.9961316182460298,1440,1080,instagram_low_quality,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,simple_resize,0.9401800411522634,48.39869333447119,0.9965680190973621,1440,1080,instagram_square,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,simple_resize,1.2258528377914952,47.24642024104119,0.9963731121495476,1440,1080,instagram_landscape,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,padding_resize,0.07164651920438958,59.57885264907007,0.9993632932461755,1440,1080,preprocessing_only,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,padding_resize,294.5577038323045,23.439099751535387,0.9624863343277977,1440,1080,instagram_standard,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,padding_resize,294.26770790466395,23.443377543859597,0.9629610871622547,1440,1080,instagram_high_quality,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,padding_resize,294.7809203532236,23.43580990410431,0.9620696862904456,1440,1080,instagram_low_quality,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,padding_resize,294.5577038323045,23.439099751535387,0.9624863343277977,1440,1080,instagram_square,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r1.png,padding_resize,294.25648383916325,23.443543197193154,0.9627858481076423,1440,1080,instagram_landscape,1080,1080,abstract_texture,wide,1
abstract_texture_wide_r2.png,simple_resize,0.1003605109739369,58.11517497059572,0.9996012076938796,1440,1080,preprocessing_only,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,simple_resize,2.106810485253772,44.894548897639545,0.9944778731074172,1440,1080,instagram_standard,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,simple_resize,1.29461612654321,47.009393483102784,0.9962534087125635,1440,1080,instagram_high_quality,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,simple_resize,2.5183731995884773,44.11960271906209,0.9934711128038523,1440,1080,instagram_low_quality,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,simple_resize,2.106810485253772,44.894548897639545,0.9944778731074172,1440,1080,instagram_square,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,simple_resize,3.6206749399862828,42.54290824757658,0.9928265837663232,1440,1080,instagram_landscape,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,padding_resize,0.20811385459533607,54.947793677585544,0.9991737325917028,1440,1080,preprocessing_only,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,padding_resize,8445.075637217078,8.864768172416525,0.5043351371491501,1440,1080,instagram_standard,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,padding_resize,8445.403501157407,8.86459956914725,0.5049438015259454,1440,1080,instagram_high_quality,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,padding_resize,8442.23574759945,8.86622885301117,0.5040773740586267,1440,1080,instagram_low_quality,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,padding_resize,8445.075637217078,8.864768172416525,0.5043351371491501,1440,1080,instagram_square,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r2.png,padding_resize,8428.67189278978,8.87321212704948,0.5040894780204547,1440,1080,instagram_landscape,1080,1080,abstract_texture,wide,2
abstract_texture_wide_r3.png,simple_resize,0.07622920953360768,59.30958944534481,0.9996042940162942,1440,1080,preprocessing_only,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,simple_resize,2.1498791152263372,44.80666320052822,0.9936447257326555,1440,1080,instagram_standard,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,simple_resize,1.364116083676269,46.78229031342983,0.995706991156244,1440,1080,instagram_high_quality,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,simple_resize,2.560516760973937,44.0475273782514,0.9927265836805512,1440,1080,instagram_low_quality,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,simple_resize,2.1498791152263372,44.80666320052822,0.9936447257326555,1440,1080,instagram_square,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,simple_resize,3.415197830932785,42.79664494901905,0.9932072746825698,1440,1080,instagram_landscape,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,padding_resize,0.16829153806584363,55.870180812777086,0.9990552647077505,1440,1080,preprocessing_only,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,padding_resize,1709.6865387088478,15.801638685974048,0.7996025659436552,1440,1080,instagram_standard,1080,1080,abstract_texture,wide,3
abstract_texture_wide_r3.png,padding_resize,1710.1386336162552,15.80049042654654,0.8006361587291034,1440,1080,instagram_high_quality,1080,1080,abstract_texture,wide,3
