category,aspect_ratio,method,pipeline,mean_mse,median_mse,std_mse,mean_psnr,median_psnr,mean_ssim,median_ssim,std_ssim,n
abstract_texture,portrait,padding_resize,instagram_high_quality,1181.3728762129756,1591.7149851394604,834.2469749677246,18.846170532709472,16.11215055922718,0.7487762281672684,0.6752227251475142,0.19548751083737953,3
abstract_texture,portrait,padding_resize,instagram_landscape,1179.6084914647156,1588.5384522176498,832.5445839369929,18.849422424070013,16.120826290300037,0.7474327364444943,0.6735128138150842,0.19651160826923503,3
abstract_texture,portrait,padding_resize,instagram_low_quality,1177.6851587664482,1591.1609857491237,838.3501039507976,18.905088386242117,16.113662392442368,0.7476468171949099,0.6737285028250131,0.19597344294421182,3
abstract_texture,portrait,padding_resize,instagram_square,1180.024006122034,1591.5933657216888,832.7355529896149,18.848366376693736,16.112482406703045,0.7480098253105654,0.6739538181750984,0.19576846271209128,3
abstract_texture,portrait,padding_resize,instagram_standard,1180.024006122034,1591.5933657216888,832.7355529896149,18.848366376693736,16.112482406703045,0.7480098253105654,0.6739538181750984,0.19576846271209128,3
abstract_texture,portrait,padding_resize,preprocessing_only,0.0,0.0,0.0,inf,inf,1.0,1.0,0.0,3
abstract_texture,portrait,simple_resize,instagram_high_quality,0.859155235482396,0.7394958847736626,0.3458389375723085,49.012079236303684,49.44144599336977,0.9963896500914231,0.9962388118130558,0.0005600041357511106,3
abstract_texture,portrait,simple_resize,instagram_landscape,2.0728708784230045,1.6758981100442003,1.357672712482163,45.59731938973465,45.88832749670719,0.9933839299419654,0.992336352020461,0.0020623037761734286,3
abstract_texture,portrait,simple_resize,instagram_low_quality,1.8902748564751306,1.729282883706752,0.6517405843239604,45.53323068857454,45.75214317979327,0.9936630379656154,0.9928470206576202,0.00142206837645917,3
abstract_texture,portrait,simple_resize,instagram_square,1.3638920642178531,1.186014327084286,0.6939139841113628,47.15632099765819,47.389904255192064,0.9947736867017863,0.994119953651319,0.0012688017700582472,3
abstract_texture,portrait,simple_resize,instagram_standard,1.3638920642178531,1.186014327084286,0.6939139841113628,47.15632099765819,47.389904255192064,0.9947736867017863,0.994119953651319,0.0012688017700582472,3
abstract_texture,portrait,simple_resize,preprocessing_only,0.03156670731087737,0.042297286998933,0.02780059860153038,inf,61.86767848792606,0.9998422356499245,0.9997850645431338,0.00013834219566167714,3
abstract_texture,square,padding_resize,instagram_high_quality,1.0213847927145252,0.8775077160493827,0.47047291579733597,48.33519425279322,48.698294169004924,0.9965609168726427,0.9963834054769068,0.0004374723472227566,3
abstract_texture,square,padding_resize,instagram_landscape,2.5681514822435605,2.143189014631916,1.706256168653274,44.7101488829521,44.82019886330173,0.9940071616132365,0.9931485213107668,0.0016706971988487472,3
abstract_texture,square,padding_resize,instagram_low_quality,1.9887916285627192,1.7721682098765432,0.9591681501871204,45.48351297716696,45.6457541918929,0.9939093625928547,0.9932714441876525,0.0014770241663687757,3
abstract_texture,square,padding_resize,instagram_square,1.6591041761926537,1.4971236282578877,0.8575367482965596,46.33316980387219,46.37822696227384,0.9948363906323303,0.9943596458451665,0.0012260379877642594,3
abstract_texture,square,padding_resize,instagram_standard,1.6591041761926537,1.4971236282578877,0.8575367482965596,46.33316980387219,46.37822696227384,0.9948363906323303,0.9943596458451665,0.0012260379877642594,3
abstract_texture,square,padding_resize,preprocessing_only,0.0,0.0,0.0,inf,inf,1.0,1.0,0.0,3
abstract_texture,square,simple_resize,instagram_high_quality,1.0213847927145252,0.8775077160493827,0.47047291579733597,48.33519425279322,48.698294169004924,0.9965609168726427,0.9963834054769068,0.0004374723472227566,3
abstract_texture,square,simple_resize,instagram_landscape,2.5681514822435605,2.143189014631916,1.706256168653274,44.7101488829521,44.82019886330173,0.9940071616132365,0.9931485213107668,0.0016706971988487472,3
abstract_texture,square,simple_resize,instagram_low_quality,1.9887916285627192,1.7721682098765432,0.9591681501871204,45.48351297716696,45.6457541918929,0.9939093625928547,0.9932714441876525,0.0014770241663687757,3
abstract_texture,square,simple_resize,instagram_square,1.6591041761926537,1.4971236282578877,0.8575367482965596,46.33316980387219,46.37822696227384,0.9948363906323303,0.9943596458451665,0.0012260379877642594,3
abstract_texture,square,simple_resize,instagram_standard,1.6591041761926537,1.4971236282578877,0.8575367482965596,46.33316980387219,46.37822696227384,0.9948363906323303,0.9943596458451665,0.0012260379877642594,3
abstract_texture,square,simple_resize,preprocessing_only,0.0,0.0,0.0,inf,inf,1.0,1.0,0.0,3
abstract_texture,very_tall,padding_resize,instagram_high_quality,1791.2255738454505,1895.341924439872,1271.6598813643125,16.701926062490582,15.353927916814222,0.6313410894108937,0.5426256657805487,0.162728486029512,3
abstract_texture,very_tall,padding_resize,instagram_landscape,1789.509097317482,1894.063455647005,1271.8476777795688,16.710219953082344,15.356858360550918,0.6304373289529327,0.5415408082879772,0.16246320388529967,3
abstract_texture,very_tall,padding_resize,instagram_low_quality,1792.5173588248742,1895.2589020347507,1269.9801084123965,16.690841361348596,15.354118156694785,0.6307465033109813,0.5421519600912252,0.16243997456284098,3
abstract_texture,very_tall,padding_resize,instagram_square,1791.2321275339127,1895.2296959304983,1271.5569316605847,16.701528537628594,15.354185082367223,0.6309607357557719,0.542295017963753,0.1625005713624443,3
abstract_texture,very_tall,padding_resize,instagram_standard,1791.2321275339127,1895.2296959304983,1271.5569316605847,16.701528537628594,15.354185082367223,0.6309607357557719,0.542295017963753,0.1625005713624443,3
abstract_texture,very_tall,padding_resize,preprocessing_only,0.0,0.0,0.0,inf,inf,1.0,1.0,0.0,3
abstract_texture,very_tall,simple_resize,instagram_high_quality,0.8592785017527816,0.8489763374485597,0.09485354466444336,48.80700109208188,48.84184775051202,0.9968849445319122,0.997029762679437,0.00032504006077349216,3
abstract_texture,very_tall,simple_resize,instagram_landscape,2.2892468754762993,2.2424548468221306,0.3168674077906049,44.561316476998,44.62356653844496,0.9937293675324321,0.9936900674719586,0.00015786578775108955,3
abstract_texture,very_tall,simple_resize,instagram_low_quality,1.6712221841182746,1.580248056698674,0.21506261253668765,45.92354641241014,46.14355095939024,0.9944437214689056,0.9945629361238052,0.00022104352428565382,3
abstract_texture,very_tall,simple_resize,instagram_square,1.396247713763146,1.3058384773662552,0.19575027375622517,46.70843845768422,46.97190899646144,0.9952278145958275,0.9952244506073534,0.00014891907116980363,3
abstract_texture,very_tall,simple_resize,instagram_standard,1.396247713763146,1.3058384773662552,0.19575027375622517,46.70843845768422,46.97190899646144,0.9952278145958275,0.9952244506073534,0.00014891907116980363,3
abstract_texture,very_tall,simple_resize,preprocessing_only,0.010542600213382101,0.0111093964334705,0.0013853178548175788,67.92767928886188,67.67389896232503,0.9999531603015281,0.999952874592102,3.3940352195154865e-06,3
abstract_texture,very_wide,padding_resize,instagram_high_quality,1035.444226044078,423.5965125868056,1150.8195665865176,19.77989171975077,21.86127984905884,0.8578482244374506,0.8430211132072803,0.10670283561445452,3
abstract_texture,very_wide,padding_resize,instagram_landscape,1032.2832568359374,423.84417317708335,1144.9629065472107,19.784232433945107,21.858741438226986,0.8573833403312333,0.8423382832863859,0.10699282620686472,3
abstract_texture,very_wide,padding_resize,instagram_low_quality,1035.80652675299,424.5996750217014,1150.2078896498142,19.77468314055272,21.85100703436272,0.8572625659169119,0.8421169559404412,0.10692845490484588,3
abstract_texture,very_wide,padding_resize,instagram_square,1034.466223536362,424.07734935619214,1148.4797540682928,19.779274687134816,21.85635284145807,0.8574530748680491,0.8422889431102021,0.10687462860799261,3
abstract_texture,very_wide,padding_resize,instagram_standard,1034.466223536362,424.07734935619214,1148.4797540682928,19.779274687134816,21.85635284145807,0.8574530748680491,0.8422889431102021,0.10687462860799261,3
abstract_texture,very_wide,padding_resize,preprocessing_only,0.18795771846064813,0.2137129267939815,0.054946514101099034,55.53406185821348,54.83249568860583,0.9986396130997811,0.998746823798676,0.0003265316859804714,3
