category,n,mean_simple,mean_padding,mean_diff,cohens_d,t_stat,p_value,p_bonferroni,significant,sig_label
gradient,15,0.9983894831802537,0.9878388717249403,0.010550611455313552,0.41840056272470744,1.6204584114766039,0.12743206787017997,1.0,False,n.s.
nebula,15,0.9961227640808575,0.9808080913757877,0.015314672705069973,1.4597742310753594,5.653681286177604,5.952793292656897e-05,0.0004762234634125518,True,***
forest,15,0.9954578484330433,0.943881217148619,0.051576631284424426,1.601398195175773,6.202188540562383,2.3055805552546975e-05,0.0001844464444203758,True,***
coral,15,0.9908986595265509,0.9136091003625013,0.07728955916404967,1.728934307155559,6.696133778300139,1.0168851413347951e-05,8.135081130678361e-05,True,***
abstract_texture,15,0.9949842511066781,0.7973469411413835,0.19763730996529466,1.0654575932764916,4.126499514850088,0.0010275857965103712,0.00822068637208297,True,***
macro_biology,15,0.9928223522009697,0.7894070351084648,0.20341531709250485,1.0098359166846345,3.9110776877216904,0.0015672158474112296,0.012537726779289837,True,***
mountain,15,0.9842540799167951,0.7458237714397707,0.23843030847702446,1.6133885564550963,6.248627010112211,2.1317458661322568e-05,0.00017053966929058055,True,***
architecture,15,0.9727075462140744,0.6320793068030922,0.3406282394109821,1.8947351959612626,7.338277859431018,3.685694621754106e-06,2.9485556974032846e-05,True,***
