image,method,mse,psnr_db,ssim,orig_width,orig_height,pipeline,target_width,target_height
nebula_portrait_r1.png,simple_resize,0.0004458161865569273,81.6392452820701,0.9999971015034862,810,1080,preprocessing_only,1080,1080
nebula_portrait_r1.png,padding_resize,0.0,inf,1.0,810,1080,preprocessing_only,1080,1080
nebula_portrait_r2.png,simple_resize,0.0006073769242493523,80.29622072893078,0.999994744061418,810,1080,preprocessing_only,1080,1080
nebula_portrait_r2.png,padding_resize,0.0,inf,1.0,810,1080,preprocessing_only,1080,1080
nebula_portrait_r3.png,simple_resize,0.0005795610425240055,80.49981175900173,0.9999972830465865,810,1080,preprocessing_only,1080,1080
nebula_portrait_r3.png,padding_resize,0.0,inf,1.0,810,1080,preprocessing_only,1080,1080
nebula_square_r1.png,simple_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080
nebula_square_r1.png,padding_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080
nebula_square_r2.png,simple_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080
nebula_square_r2.png,padding_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080
nebula_square_r3.png,simple_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080
nebula_square_r3.png,padding_resize,0.0,inf,1.0,1080,1080,preprocessing_only,1080,1080
nebula_very_tall_r1.png,simple_resize,0.0024919981710105166,74.16532641628905,0.9999908431559377,540,1080,preprocessing_only,1080,1080
nebula_very_tall_r1.png,padding_resize,0.0,inf,1.0,540,1080,preprocessing_only,1080,1080
nebula_very_tall_r2.png,simple_resize,0.002253657978966621,74.60192353824267,0.9999889472354873,540,1080,preprocessing_only,1080,1080
nebula_very_tall_r2.png,padding_resize,0.0,inf,1.0,540,1080,preprocessing_only,1080,1080
nebula_very_tall_r3.png,simple_resize,0.002955532693187014,73.42444593125421,0.9999889179410336,540,1080,preprocessing_only,1080,1080
nebula_very_tall_r3.png,padding_resize,0.0,inf,1.0,540,1080,preprocessing_only,1080,1080
nebula_very_wide_r1.png,simple_resize,0.0698927589699074,59.6864817657155,0.9995241672872959,1920,960,preprocessing_only,1080,1080
nebula_very_wide_r1.png,padding_resize,0.1416015625,56.62012315272747,0.9991259601689378,1920,960,preprocessing_only,1080,1080
nebula_very_wide_r2.png,simple_resize,0.07484682436342592,59.3890698225027,0.9995209171655336,1920,960,preprocessing_only,1080,1080
nebula_very_wide_r2.png,padding_resize,0.14386881510416666,56.55113694074493,0.9991560307170851,1920,960,preprocessing_only,1080,1080
nebula_very_wide_r3.png,simple_resize,0.07367277922453704,59.457733074225054,0.9995295684581551,1920,960,preprocessing_only,1080,1080
nebula_very_wide_r3.png,padding_resize,0.14610767505787037,56.48407330780758,0.9990889138741547,1920,960,preprocessing_only,1080,1080
nebula_wide_r1.png,simple_resize,0.041919581618655694,61.90663421377352,0.9997492708142219,1440,1080,preprocessing_only,1080,1080
nebula_wide_r1.png,padding_resize,0.087488640260631,58.7112869404442,0.999479096580852,1440,1080,preprocessing_only,1080,1080
nebula_wide_r2.png,simple_resize,0.04632887517146776,61.47228604864083,0.9997055594957771,1440,1080,preprocessing_only,1080,1080
nebula_wide_r2.png,padding_resize,0.08902713477366254,58.635579644884146,0.9994743298508924,1440,1080,preprocessing_only,1080,1080
nebula_wide_r3.png,simple_resize,0.046461119684499314,61.45990689046827,0.9997123746443285,1440,1080,preprocessing_only,1080,1080
nebula_wide_r3.png,padding_resize,0.089409079218107,58.61698738558407,0.9994397775226586,1440,1080,preprocessing_only,1080,1080
